Dataset,Fold,Model,Versao,MSE,MAE
acceleration,4,BAGGING,RO,0.9246345812480276,0.6946150963624678
acceleration,4,BAGGING,Hardness-RO,1.1673992041342538,0.6818228794973195
acceleration,5,SVR,Original,10.254424320904002,2.239348133491399
acceleration,5,SVR,RO,22.78388986978994,3.9692240144539794
acceleration,5,SVR,Hardness-RO,9.655769557178552,2.2518837088160217
acceleration,5,NNET,Original,152.0451313191136,5.07190423366816
acceleration,5,NNET,RO,139.01104557616776,7.232146908352756
acceleration,5,NNET,Hardness-RO,544.4292383371485,17.34326013471536
acceleration,5,XGB,Original,0.6595672016468457,0.505378960047154
acceleration,5,XGB,RO,0.763014626683137,0.5772626692160017
acceleration,5,XGB,Hardness-RO,1.2903496332815694,0.6961495672347229
acceleration,5,RF,Original,0.6847396124269761,0.5577968414533443
acceleration,5,RF,RO,0.8394061794644023,0.639687209430297
acceleration,5,RF,Hardness-RO,1.295432029687186,0.684558225529849
acceleration,5,BAGGING,Original,0.8251225083493897,0.6173709055876686
acceleration,5,BAGGING,RO,0.9599745006537049,0.6994318622938701
acceleration,5,BAGGING,Hardness-RO,1.352083081762255,0.7206823494183103
airfoild,1,SVR,Original,1279686769.0432072,15171.823051157571
airfoild,1,SVR,RO,1207251812.756506,22403.90666618628
